,0,1
1,"(None, False, (1, 2), 0.4, 80)",0.8946249734261714
3,"(None, False, (1, 2), 0.6, 80)",0.8945937126835872
2,"(None, False, (1, 2), 0.6, 70)",0.8945312322153255
0,"(None, False, (1, 2), 0.4, 70)",0.8944062507703489
1,"(None, False, (1, 2), 0.5, 10)",0.8816561892200854
2,"(None, False, (1, 2), 0.7, 10)",0.8811874245702745
0,"(None, False, (1, 2), 0.3, 10)",0.8810936892189867
4,"('stem', False, (1, 2), 0.5, 10)",0.8803124519131701
5,"('stem', False, (1, 2), 0.7, 10)",0.8802186814045335
3,"('stem', False, (1, 2), 0.3, 10)",0.8797187614841846
7,"('lemmatize', False, (1, 2), 0.5, 10)",0.8792499030814437
8,"('lemmatize', False, (1, 2), 0.7, 10)",0.8790311481980514
6,"('lemmatize', False, (1, 2), 0.3, 10)",0.8776249333526535
