,0,1
1,"('stem', False, (1, 2), 0.6, 10)",0.8434374440284022
4,"('stem', False, (1, 2), 0.7, 10)",0.843249949887594
11,"('stem', False, (1, 2), 0.7, 10)",0.843249949887594
10,"('stem', False, (1, 2), 0.5, 10)",0.8418749576976526
5,"(None, False, (1, 2), 0.7, 10)",0.8399998815197347
3,"(None, False, (1, 2), 0.2, 10)",0.8390623610094501
4,"(None, False, (1, 2), 0.5, 10)",0.838781119798238
9,"('stem', False, (1, 2), 0.2, 10)",0.8367502116018279
3,"('stem', False, (1, 2), 0.7, 7)",0.8289685367686657
0,"('stem', False, (1, 2), 0.6, 7)",0.8289372877451976
5,"('stem', False, (1, 2), 0.7, 15)",0.8285001119732259
2,"('stem', False, (1, 2), 0.6, 15)",0.8252188502477008
2,"(None, False, (1, 1), 0.7, 10)",0.6918439046764037
1,"(None, False, (1, 1), 0.5, 10)",0.6871564017374691
0,"(None, False, (1, 1), 0.2, 10)",0.6852501702890131
8,"('stem', False, (1, 1), 0.7, 10)",0.6509062395522247
7,"('stem', False, (1, 1), 0.5, 10)",0.6458124905188688
6,"('stem', False, (1, 1), 0.2, 10)",0.6451875041899503
